Name,Brand,NETWORK_Technology,NETWORK_2G_bands,NETWORK_3G_bands,NETWORK_4G_bands,NETWORK_5G_bands,NETWORK_GPRS,NETWORK_EDGE,NETWORK_Speed,LAUNCH_Announced,BODY_Weight,BODY_Length,BODY_Width,BODY_Thickness,FEATURES_Sensors,MISC_Price_Euro,DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram,BATTERY_Type,BATTERY_Capacity,MAIN_CAM_1_Module,MAIN_CAM_1_Video
Acer beTouch T500,Acer,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,TD-SCDMA,2010,130,118.5,58,13.5,Accelerometer,73.56,TFT,3.2,320,480,android,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Acer Liquid mt,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 14.4/2 Mbps,2010,135,115,63,13.5,"Accelerometer, proximity, compass",78.23,TFT,3.6,480,800,android 2,microsdhc,524288,524288,Li-Ion,1500,1,720
Acer beTouch E130,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2010,109,115,62.5,11.5,"Accelerometer, compass",94.13,TFT,2.6,320,240,android 1,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Acer beTouch E120,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2010,105,104.5,54,13.2,"Accelerometer, compass",72.38,TFT,2.8,240,320,android 1,microsdhc,524288,262144,Li-Ion,1500,1,Yes
Acer Stream,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2010,140,119.5,63,11.2,"Accelerometer, proximity, compass",132.22,OLED,3.7,480,800,android 2,microsdhc,2097152,524288,Li-Ion,1400,1,720
Acer Liquid E,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2010,135,115,62.5,12.5,"Accelerometer, proximity",95.05,TFT,3.5,480,800,android 2,microsdhc,524288,524288,Li-Ion,1350,1,480
Acer neoTouch P400,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA,2010,125,115,59.3,12,"Accelerometer, compass",102.36,TFT,3.2,320,480,Microsoft Windows Mobile 6.5.3 Professional,microsd,524288,262144,Li-Po,1090,1,Yes
Acer beTouch E400,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2010,125,115,59.3,12,"Accelerometer, compass",85.26,TFT,3.2,320,480,android 2,microsd,524288,262144,Li-Po,1090,1,Yes
Acer neoTouch P300,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,,,,HSPA 7.2/2 Mbps,2010,130,110,55,15.1,Accelerometer,88.08,TFT,3.2,240,400,Microsoft Windows Mobile 6.5.3,microsd,524288,262144,Li-Po,970,1,Yes
Acer beTouch E110,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2010,105,103.5,54,13.4,,73.59,TFT,2.8,240,320,android 1,microsd,262144,262144,Li-Ion,1500,1,Yes
Acer Liquid,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2009,135,115,62.5,12.5,"Accelerometer, proximity",91.97,TFT,3.5,480,800,android 1,microsdhc,524288,262144,Li-Ion,1350,1,480
Acer neoTouch,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2009,130,118.6,63,12,"Accelerometer, proximity",218.98,TFT,3.8,480,800,Microsoft Windows Mobile 6.5 Professional,microsdhc,524288,262144,Li-Po,1350,1,480
Acer beTouch E200,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,,,,HSPA 3.6/0.384 Mbps,2009,146,110,53.5,15.4,,194.59,TFT,3,240,400,Microsoft Windows Mobile 6.5 Professional,microsd,524288,262144,Li-Ion,1140,1,Yes
Acer beTouch E100,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/5.76 Mbps,2009,118,113,56,12.8,,180.82,TFT,3.2,240,400,Microsoft Windows Mobile 6.5 Professional,microsd,524288,262144,Li-Ion,1140,1,320
Acer beTouch E101,Acer,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2009,118,113,56,12.8,,170.42,TFT,3.2,240,400,Microsoft Windows Mobile 6.5 Professional,microsd,524288,262144,Li-Ion,1140,1,Yes
Acer DX650,Acer,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,,2009,133,109.6,59,15.6,Accelerometer,150.99,TFT,2.8,240,320,Microsoft Windows Mobile 6.1 Professional,microsd,,,Li-Ion,1260,1,No
Acer M900,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2009,188,119,62,17.1,Fingerprint (front-mounted),255.65,TFT,3.8,480,800,Microsoft Windows Mobile 6.1 Professional,microsd,,,Li-Ion,1530,1,Yes
Acer F900,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2009,150,117.5,63.5,15.8,Accelerometer,217.13,TFT,3.8,480,800,Microsoft Windows Mobile 6.1 Professional,microsd,262144,131072,Li-Ion,1530,1,480
Acer X960,Acer,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 850 / 1900 / 2100 ,,,,,HSPA 7.2/2 Mbps,2009,131,106.4,59,13.7,,273.8,TFT,2.8,480,640,Microsoft Windows Mobile 6.1 Professional,microsdhc,262144,131072,Li-Po,1530,1,Yes
Acer DX900,Acer,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1,HSDPA 850 / 1900 / 2100 - SIM 1,,,,,HSPA 7.2/0.384 Mbps,2009,147,106,60.5,17,Accelerometer,90.57,TFT,2.8,480,640,Microsoft Windows Mobile 6.1 Professional,microsd,262144,131072,Li-Po,1530,1,Yes
alcatel 1B (2022),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (Dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5031D, 5031G",,,,"HSPA 42.2/11.1 Mbps, LTE Cat4 150/50 Mbps",2022,172,146.7,71.9,10,Accelerometer,103.43,TFT,5.5,720,1440,android 11,microsdxc,33554432,2097152,Li-Ion,3000,1,1080
alcatel 1L Pro (2021),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - USA",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2021,190,156.4,74.8,9.7,"Fingerprint (rear-mounted), accelerometer, proximity",118.97,IPS,6.1,720,1560,android 11,microsdxc,33554432,2097152,Li-Ion,3000,1,1080
alcatel 1 (2021),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2021,134,137.6,65.7,9.8,"Accelerometer, proximity",64.76,TFT,5,480,960,android 11,microsdhc,16777216,1048576,Li-Ion,2000,1,720
alcatel 3L (2021),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2021,194,165.6,75.6,8.7,"Fingerprint (rear-mounted), accelerometer, proximity, compass",338.74,IPS,6.52,720,1600,android 11,microsdxc,67108864,4194304,Li-Po,4000,1,1080
alcatel 1S (2021),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2021,190,165.6,75.6,8.8,"Fingerprint (rear-mounted), accelerometer, proximity, compass",137.75,IPS,6.52,720,1600,android 11,microsdxc,33554432,3145728,Li-Po,4000,1,1080
alcatel 1L (2021),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"2, 3, 4, 5, 7, 8, 12, 17, 28, 66 - USA",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2021,179,155.9,74.5,9.9,"Fingerprint (rear-mounted), accelerometer, proximity",110.1,IPS,6.1,720,1560,android 11,microsdxc,33554432,2097152,Li-Ion,3000,1,1080
alcatel 1V (2021),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 6002A,"2, 3, 4, 5, 7, 8, 12, 13, 17, 26, 28, 66 - 6002A",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2021,190,165.2,75.5,8.9,"Fingerprint (rear-mounted), accelerometer, proximity, compass",106.49,IPS,6.52,720,1600,android 11,microsdxc,67108864,2097152,Li-Ion,5000,1,1080
alcatel 1SE (2020),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2020,175,159.2,75.2,8.7,"Fingerprint (rear-mounted), accelerometer, proximity",156.14,IPS,6.22,720,1520,android 10,microsdxc,134217728,33554432,Li-Po,4000,1,1080
alcatel Go Flip 4,alcatel,GSM / HSPA / LTE,GSM 850 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",,,,"HSPA, LTE",2021,133,107.3,55.6,19.9,,47,TFT,2.8,240,320,kaios,microsdhc,4194304,524288,Li-Ion,1850,1,480
alcatel Go Flip 3,alcatel,GSM / CDMA / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 25, 26, 41, 66, 71",,,,"HSPA, LTE",2019,118,104.9,53.1,20.1,,84.83,TFT,2.8,240,320,kaios,microsdhc,4194304,524288,Li-Ion,1350,1,720
alcatel Go Flip V,alcatel,GSM / HSPA / LTE,GSM 850 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 13",,,,"HSPA, LTE",2019,118,104.9,52.8,18.7,,82.4,TFT,2.8,240,320,kaios,microsdhc,8388608,1048576,Li-Ion,1350,1,720
alcatel 3T10 2020,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA, LTE",2020,475,243.3,161.2,9.4,"Accelerometer, proximity",175.77,IPS,10.1,800,1280,android 10,microsdxc,33554432,2097152,Li-Po,5500,1,720
alcatel 3X (2020),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2020,186,165,75,9.1,"Fingerprint (rear-mounted), accelerometer, proximity, compass",171,IPS,6.52,720,1600,android 10,microsdxc,134217728,6291456,Li-Po,5000,1,1080
alcatel 3L (2020),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2020,165,158.7,74.6,8.5,"Fingerprint (rear-mounted), accelerometer, proximity, compass",153.91,IPS,6.22,720,1520,android 10,microsdxc,67108864,4194304,Li-Po,4000,1,1080
alcatel 1S (2020),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28, 38, 40",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2020,165,158.7,74.6,8.5,"Fingerprint (rear-mounted), accelerometer, proximity, compass",104.08,IPS,6.22,720,1520,android 10,microsdxc,33554432,3145728,Li-Po,4000,1,1080
alcatel 1V (2020),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 - 5007U,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - 5007U",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2020,160,158.7,74.8,8.9,"Fingerprint (rear-mounted), accelerometer, proximity",88.58,IPS,6.22,720,1520,android 10,microsdxc,33554432,2097152,Li-Po,4000,1,1080
alcatel 1B (2020),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 5, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2020,168,146.1,71.6,9.9,"Accelerometer, proximity",87.88,IPS,5.5,720,1440,android 10,microsdxc,33554432,2097152,Li-Ion,3000,1,1080
alcatel 3v (2019),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,"1, 2, 3, 4, 5, 7, 12, 13, 17, 20, 25, 26, 41, 66, 71",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2019,197,174.5,83.3,8.4,"Fingerprint (rear-mounted), accelerometer, proximity, compass",172.37,IPS,6.7,720,1440,android 9,microsdxc,33554432,3145728,Li-Po,4000,1,1080
alcatel 3x (2019),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - 5048Y,"1, 3, 5, 7, 8, 20, 28, 38, 40 - 5048Y",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2019,178,164.9,75.8,8.4,"Fingerprint (rear-mounted), accelerometer, proximity",154.51,IPS,6.52,720,1600,android 9,microsdxc,134217728,6291456,Li-Po,4000,1,1080
alcatel 1v (2019),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only), HSDPA 800 / 850 / 900 / 1900 / 2100 - 5001D/5001U/5001T,"1, 3, 7, 8, 20, 28 - 5001D",,,,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",2019,153,149.1,72.2,8.9,"Fingerprint (under display, optical) - market dependant, accelerometer, proximity",81.61,IPS,5.5,480,960,android 9,microsdxc,16777216,3145728,Li-Ion,2460,1,1080
alcatel 3T 8,alcatel,LTE, N/A, N/A,"2, 4, 5, 12, 66, 71",,No,No,LTE,2018,279,209.5,125,8.3,Accelerometer,148.21,IPS,8,800,1280,android 8,microsdxc,33554432,3145728,Li-Po,4080,1,1080
alcatel Smart Tab 7,alcatel,No cellular connectivity, N/A, N/A, N/A,,No,No,No,2019,268,176,126,12,Accelerometer,87.83,TFT,7,600,1024,android 9,microsdxc,16777216,1572864,Li-Ion,2580,1,
alcatel 3T 10,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2019,440,260,156.6,9,"Accelerometer, proximity",,IPS,10,800,1280,android 8,microsdxc,16777216,2097152,Li-Ion,4080,1,720
alcatel 3L,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2019,145,151.1,69.7,8,"Fingerprint (rear-mounted, market dependent), accelerometer, proximity",,IPS,5.94,720,1560,android 8,microsdxc,16777216,2097152,Li-Ion,3500,1,1080
alcatel 3 (2019),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2019,145,151.1,69.7,8,"Fingerprint (rear-mounted), accelerometer, proximity, compass",,IPS,5.94,720,1560,android 8,microsdxc,67108864,4194304,Li-Ion,3500,1,1080
alcatel 1s,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2019,146,147.8,70.7,8.6,"Fingerprint (rear-mounted), accelerometer, proximity",,IPS,5.5,720,1440,android 9,microsdxc,67108864,4194304,Li-Ion,3060,1,1080
alcatel 1x (2019),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5059A,"1, 3, 5, 7, 8, 28, 38, 40 - 5008T",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2019,130,146.4,68.8,8.3,"Fingerprint (rear-mounted, 5008T only), accelerometer, proximity",122.69,IPS,5.5,720,1440,android 8,microsdxc,16777216,2097152,Li-Ion,3000,1,1080
alcatel 1c (2019),alcatel,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 ,,,,,HSPA 42.2/5.76 Mbps,2019,148,136.6,65.3,10,"Accelerometer, proximity",75.75,IPS,5,480,960,android 8,microsdhc,8388608,1048576,Li-Ion,2000,1,720
alcatel 1,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,134,137.6,65.7,9.8,"Accelerometer, proximity",65.48,TFT,5,480,960,android 8,microsdhc,16777216,1048576,Li-Ion,2000,1,720
alcatel Tetra,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 14",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,150,142.5,71.9,9.4,"Accelerometer, proximity",41.38,IPS,5,480,854,android 8,microsdxc,16777216,2097152,Li-Ion,2050,1,720
alcatel 7,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1700(AWS) / 1900 ,"2, 4, 5, 12, 66, 71",,,,"HSPA 42.2/5.76 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2018,175,162.1,75,8.6,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",156.86,IPS,6,1080,2180,android 8,microsdxc,33554432,2097152,Li-Ion,4000,1,1080
alcatel 5v,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM only),HSDPA 900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,158,153.7,74.5,8.5,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",184.85,IPS,6.2,720,1500,android 8,microsdxc,33554432,3145728,Li-Ion,4000,1,1080
alcatel 5,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - 5086D/Y,"1, 3, 7, 8, 20, 28 - 5086D/Y",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2018,144,152.3,71.1,8.4,"Fingerprint (rear-mounted), accelerometer, proximity, compass",237.01,IPS,5.7,720,1440,android 7,microsdxc,33554432,3145728,Li-Ion,3000,1,1080
alcatel 3v,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 - 5099Y/D/U/I,"1, 3, 7, 8, 20, 28, 38 - 5099Y/D",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2018,155,162,76,8.1,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",164.77,IPS,6,1080,2160,android 8,microsdxc,33554432,2097152,Li-Ion,3000,1,1080
alcatel 3x (2018),alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5058A/J,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28 - 5058A/J",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2018,144,153.5,71.6,8.5,"Fingerprint (rear-mounted), accelerometer, proximity, compass",130.01,IPS,5.7,720,1440,android 7,microsdxc,33554432,3145728,Li-Ion,3000,0,1080
alcatel 3,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5052A,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28 - 5052A",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2018,145,147.1,68.8,8.5,"Fingerprint (rear-mounted), accelerometer, proximity, compass",172.92,IPS,5.5,720,1440,android 8,microsdxc,16777216,2097152,Li-Ion,3000,1,1080
alcatel 1x,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - 5059A,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28 - 5059A",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2018,151,147.5,70.6,9.1,"Fingerprint (rear-mounted, 5059A/J only), accelerometer, proximity",100.18,IPS,5.3,480,960,android 8,microsdhc,16777216,2097152,Li-Ion,2460,1,1080
alcatel 3c,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2018,169,161,76,7.9,"Fingerprint (rear-mounted), accelerometer, proximity",138.36,IPS,6,720,1440,android 7,microsdxc,16777216,1048576,Li-Ion,3000,1,1080
alcatel 3088,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,,"1, 3, 7, 8, 20, 28",,Yes,Yes,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2019,90,125.2,50.5,12.8,,57.91,TFT,2.4,240,320,kaios,no,4194304,524288,Li-Ion,1530,1,480
alcatel 1T 10,alcatel,No cellular connectivity, N/A,,,,No,Yes,No,2018,415,255,155,9.4,Accelerometer,107.48,TFT,10.1,1280,800,android 8,microsdxc,16777216,1048576,Li-Ion,4000,1,720
alcatel 1T 7,alcatel,No cellular connectivity, N/A,,,,No,Yes,No,2018,245,189.5,111,9.2,Accelerometer,72.77,TFT,7,600,1024,android 8,microsdxc,8388608,1048576,Li-Ion,2580,1,720
alcatel Idol 5s,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2017,147,148.6,72,7.5,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",140.52,IPS,5.2,1080,1920,android 7,microsdxc,33554432,3145728,Li-Ion,2850,1,1080
alcatel Idol 5,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",2017,155,148,73,7.5,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",127.9,IPS,5.2,1080,1920,android 7,microsdxc,16777216,3145728,Li-Ion,2800,1,1080
alcatel A7 XL,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2017,175,159.6,81.5,8.7,"Fingerprint (rear-mounted), accelerometer, proximity, compass",268.52,IPS,6,1080,1920,android 7,microsdhc,33554432,3145728,Li-Ion,4000,1,1080
alcatel A7,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20, 28",,,,"HSPA 42.2/11.5 Mbps, LTE-A (2CA) Cat6 300/50 Mbps",2017,164,152.7,76.5,9,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",190.77,IPS,5.5,1080,1920,android 7,microsdxc,33554432,3145728,Li-Ion,4000,1,1080
alcatel U5 HD,alcatel,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,"1, 3, 7, 8, 20",,,,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",2017,129,141.8,71.4,9,"Accelerometer, proximity",,IPS,5,720,1280,android 7,microsdxc,8388608,1048576,Li-Ion,2200,1,1080
