DISPLAY_Type,DISPLAY_Size,DISPLAY_Resolution_Width,DISPLAY_Resolution_Height,PLATFORM_OS,MEMORY_Card_slot,MEMORY_Internal_rom,MEMORY_Internal_ram
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,3.5,320.0,480.0,firefox,microsdhc,524288.0,262144.0
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0
IPS,5.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
TFT,3.5,320.0,480.0,firefox,microsdhc,262144.0,131072.0
IPS,5.0,720.0,1280.0,android 5,microsdhc,8388608.0,1048576.0
TFT,5.0,480.0,854.0,android 5,microsdhc,8388608.0,1048576.0
TFT,4.0,480.0,800.0,android 5,microsdhc,4194304.0,524288.0
TFT,4.5,480.0,854.0,android 4,microsdhc,8388608.0,1048576.0
TFT,4.5,480.0,854.0,android 4,microsdhc,8388608.0,1048576.0
IPS,5.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
IPS,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
IPS,8.0,800.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
IPS,8.0,1200.0,1920.0,android 4,microsdhc,33554432.0,8388608.0
IPS,6.0,1080.0,1920.0,android 4,microsdhc,16777216.0,2097152.0
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0
TFT,4.5,480.0,854.0,android 4,microsdhc,4194304.0,524288.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,8.0,800.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
TFT,2.8,240.0,320.0,,microsdhc,16384.0,
TFT,2.4,240.0,320.0,,microsdhc,131072.0,65536.0
TFT,1.8,128.0,160.0,,microsdhc,131072.0,
TFT,2.4,240.0,320.0,,microsdhc,4096.0,4096.0
TFT,2.4,240.0,320.0,,microsdhc,131072.0,65536.0
IPS,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,1048576.0
TFT,7.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
IPS,5.9,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
IPS,5.0,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,1048576.0
TFT,7.0,540.0,960.0,firefox,microsdxc,,
IPS,4.5,540.0,960.0,firefox,microsdhc,4194304.0,1048576.0
IPS,4.5,540.0,960.0,firefox,microsdhc,4194304.0,524288.0
TFT,3.5,320.0,480.0,firefox,microsdhc,4194304.0,524288.0
IPS,5.0,720.0,1280.0,android 4,microsdhc,8388608.0,1048576.0
IPS,5.0,540.0,960.0,android 4,microsdhc,16777216.0,1048576.0
IPS,4.5,540.0,960.0,android 4,microsdhc,8388608.0,1048576.0
IPS,4.5,540.0,960.0,android 4,microsdhc,8388608.0,1048576.0
TFT,2.8,240.0,320.0,android 4,microsdhc,4194304.0,524288.0
TFT,2.4,240.0,320.0,,microsdhc,,
TFT,2.4,240.0,320.0,,microsdhc,,
IPS,5.0,1080.0,1920.0,android 4,microsdhc,33554432.0,16777216.0
IPS,5.5,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
IPS,8.0,800.0,1280.0,android 4,microsdxc,4194304.0,1048576.0
TFT,7.0,600.0,1024.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.5,540.0,960.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,5.0,480.0,854.0,android 4,microsdhc,4194304.0,1048576.0
TFT,4.5,480.0,854.0,android 4,microsdhc,4194304.0,524288.0
TFT,4.0,480.0,800.0,android 4,microsdhc,4194304.0,524288.0
TFT,3.5,320.0,480.0,android 4,microsdhc,4194304.0,524288.0
